Name,one,two,thr,for,fiv,six,sev,etg,nin,ten,ele,twe,thi,fro,fif,sit
L1_SingleIsoEG34er2p5,12.5,11.2,10.9,-11.7%,-2.5%,12.7%,13.4,11.3,-15.6%,12489,11183,10909,15227,13351,11273
L1_IsoEG32er2p5_Mt40,11.5,9.6,9.2,-19.4%,-4.6%,20.0%,12.7,9.1,-28.1%,11489,9620,9195,13920,12700,9137
L1_IsoEG32er2p5_Mt44,11.1,9.3,8.9,-19.6%,-4.1%,19.7%,12.2,9.1,-25.2%,11099,9278,8915,13390,12211,9137
L1_IsoEG32er2p5_Mt48,10.7,8.9,8.6,-19.3%,-3.5%,19.0%,11.4,8.7,-24.0%,10657,8937,8631,13063,11397,8662
L1_DoubleEG_25_12_er2p5,4.1,4.8,4.6,14.1%,-3.9%,-12.1%,4.2,5.1,20.5%,4082,4753,4575,5348,4233,5102
L1_DoubleEG_25_14_er2p5,2.9,3.4,3.2,16.4%,-6.0%,-12.8%,3.1,3.4,11.2%,2859,3418,3224,4001,3094,3441
L1_DoubleEG_27_14_er2p5,2.4,2.7,2.6,13.1%,-4.4%,-10.3%,2.4,2.8,16.6%,2361,2718,2603,3347,2442,2848
L1_DoubleEG_LooseIso22_12_er2p5,4.1,3.6,3.5,-14.5%,-2.4%,14.7%,4.2,4.4,3.7%,4081,3565,3481,5307,4233,4391
L1_DoubleEG_LooseIso25_12_er2p5,3.1,2.7,2.7,-13.3%,-1.9%,13.3%,3.4,3.1,-9.8%,3080,2718,2669,4123,3419,3085
L1_DoubleLooseIsoEG22er2p1,0.3,0.3,0.3,26.8%,-32.9%,-2.7%,0.3,0.2,-27.1%,250,342,257,327,326,237
L1_DoubleLooseIsoEG24er2p1,0.2,0.3,0.3,38.9%,-32.9%,-23.1%,0.3,0.2,-27.1%,209,342,257,286,326,237
L1_TripleEG_18_17_8_er2p5,0.6,0.7,0.6,16.0%,-19.9%,0.7%,0.5,0.5,-2.8%,615,733,611,816,488,475
