100 Games, 100 Rounds, 8 Players
[0, 35, 5, 0, 1, 12, 5, 7]
[21, 22, 10, 1, 9, 5, 1, 1]
[0, 0, 33, 1, 24, 1, 2, 9]
[30, 7, 5, 4, 24, 2, 11, 0]
[6, 17, 2, 9, 8, 29, 0, 2]
[4, 13, 2, 2, 3, 4, 0, 47]
[17, 30, 1, 0, 4, 1, 21, 1]
[5, 23, 4, 11, 21, 6, 1, 3]
[2, 16, 0, 46, 2, 0, 3, 1]
[2, 2, 15, 6, 0, 2, 38, 4]
[14, 0, 4, 17, 2, 3, 8, 38]
[37, 10, 2, 3, 1, 1, 16, 3]
[31, 7, 9, 4, 6, 3, 20, 3]
[5, 4, 16, 5, 3, 4, 6, 30]
[34, 10, 3, 3, 1, 17, 4, 4]
[11, 2, 6, 1, 2, 10, 48, 5]
[26, 1, 1, 4, 5, 37, 0, 1]
[18, 1, 26, 0, 6, 3, 19, 1]
[18, 7, 2, 4, 2, 3, 36, 1]
[3, 3, 1, 15, 29, 1, 3, 22]
[29, 6, 8, 21, 1, 2, 1, 15]
[3, 35, 1, 2, 24, 3, 14, 1]
[2, 7, 5, 2, 4, 0, 1, 58]
[7, 13, 1, 2, 1, 9, 42, 4]
[0, 39, 2, 6, 0, 12, 5, 12]
[7, 2, 4, 1, 59, 0, 4, 2]
[0, 20, 6, 20, 5, 20, 2, 2]
[12, 2, 4, 40, 2, 3, 2, 13]
[11, 8, 11, 5, 5, 5, 18, 14]
[32, 5, 6, 2, 13, 10, 2, 4]
[5, 1, 38, 8, 3, 1, 0, 18]
[14, 3, 38, 11, 1, 1, 4, 3]
[2, 12, 15, 4, 3, 4, 0, 30]
[5, 8, 5, 7, 3, 26, 13, 12]
[14, 16, 2, 3, 5, 1, 15, 21]
[5, 16, 3, 6, 13, 27, 4, 11]
[0, 44, 4, 5, 24, 7, 2, 1]
[7, 23, 35, 5, 4, 3, 2, 2]
[9, 2, 10, 7, 20, 4, 12, 8]
[5, 0, 27, 7, 4, 26, 3, 12]
[10, 4, 24, 2, 4, 3, 0, 21]
[1, 21, 9, 10, 15, 10, 3, 3]
[2, 9, 5, 6, 3, 1, 62, 1]
[20, 2, 1, 19, 2, 28, 7, 3]
[22, 6, 1, 1, 13, 10, 17, 2]
[1, 0, 33, 2, 6, 0, 5, 33]
[2, 6, 2, 16, 43, 2, 9, 4]
[7, 3, 5, 34, 17, 14, 3, 0]
[13, 2, 3, 4, 23, 5, 2, 21]
[3, 2, 20, 9, 10, 6, 24, 3]
[6, 3, 61, 3, 2, 0, 6, 3]
[2, 53, 0, 2, 15, 3, 5, 1]
[0, 3, 2, 3, 3, 9, 13, 45]
[38, 2, 1, 10, 6, 4, 9, 1]
[12, 7, 2, 2, 19, 4, 2, 27]
[36, 3, 6, 2, 1, 25, 5, 5]
[17, 4, 28, 9, 0, 2, 14, 2]
[0, 40, 2, 5, 7, 21, 0, 3]
[32, 1, 17, 1, 1, 15, 10, 5]
[16, 4, 10, 3, 4, 38, 1, 2]
[5, 5, 2, 7, 0, 32, 11, 16]
[4, 3, 22, 1, 14, 25, 1, 11]
[14, 0, 2, 2, 22, 17, 26, 1]
[1, 10, 7, 2, 3, 3, 48, 4]
[4, 1, 2, 42, 14, 2, 15, 2]
[20, 14, 3, 22, 3, 2, 2, 11]
